species,bl,cut,rs,rd,ro,le,in,ex,pr,cu,tr,bo,se,Ho,ptI,ptII,tu,en,dis,dsa,len,ngr,ngd,ngsu,hu,ngsn,ngss,ngpa,im,gla,acm,cd,pps,ch,lga,efo,eca,es,gos,gsn,gsp,ag,gad,iadp,iado,an,aos,ad,lcu,cl,clt,fca,rot,rof,roti,d,tap,tIw,tIpl,it,tIIw,pli,rob,rol,gso,pab
Halozetes marionensis,2,0,0,0,2,2,4,2,1,0,0,1,5,0,?,?,0,0,?,0,0,0,0,2,0,1,0,0,2,3,?,?,?,?,?,0,0,0,0,3,1,1,2,1,2,2,2,3,0,0,0,0,1,1,0,0,0,1,1,1,1,1,0,1,3,0
Halozetes necrophagus,3,0,0,0,2,2,4,2,2,0,0,1,3,0,?,?,0,0,?,1,0,0,0,1,0,0,0,0,2,2,?,?,?,?,1,0,0,3,0,3,1,1,2,1,2,2,2,3,?,?,?,?,?,?,?,?,?,?,?,?,?,4,?,?,?,1
Halozetes plumosus,2,0,0,0,2,1,4,?,2,0,0,1,5,0,?,?,0,0,?,0,0,0,0,2,0,2,0,0,?,?,?,?,?,?,?,0,0,0,0,3,1,1,2,1,2,2,2,3,?,?,?,?,?,?,?,?,?,?,?,?,?,4,0,?,?,1
Podacarus auberti,3,0,0,0,2,1,2,2,2,0,0,1,5,0,1,1,0,0,1,1,0,0,0,1,0,1,0,0,2,2,1,1,1,0,0,0,0,7,0,3,0,1,2,1,2,2,2,3,0,0,0,0,1,1,0,0,0,1,1,1,1,4,?,1,3,1
Tegeocranellus alas,1,1,0,0,2,1,2,0,4,1,0,5,4,?,2,0,1,0,2,1,3,0,2,1,1,3,0,0,2,2,0,0,0,3,1,1,0,6,2,3,0,1,0,2,0,2,1,3,?,1,0,1,1,1,0,0,0,1,1,1,0,3,?,1,3,1
Tegeocranellus barbarae,2,1,0,0,2,1,2,0,4,1,0,5,3,?,2,0,1,0,2,1,3,0,0,1,1,3,0,0,2,2,0,0,0,0,1,0,0,6,2,3,0,1,0,2,0,2,1,3,?,1,0,1,1,1,0,0,0,1,1,1,0,3,?,1,3,1
Tegeocranellus kethleyi,1,1,0,0,2,1,2,0,4,1,0,5,7,?,2,0,1,0,2,1,3,1,0,1,1,5,0,0,2,2,0,0,0,0,1,0,0,6,2,3,0,1,0,2,0,2,1,3,?,1,0,1,1,1,0,0,0,1,1,1,0,3,?,1,3,1
Tegeocranellus mediolamellatus,1,1,0,0,1,1,2,0,4,1,0,5,7,?,2,0,1,0,2,1,1,0,0,1,1,5,0,0,2,2,0,0,0,0,1,1,0,6,2,3,0,1,0,2,0,2,1,3,?,1,0,1,1,1,0,0,0,1,1,1,0,3,?,1,3,1
Tegeocranellus mississippii,0,1,0,1,2,1,2,0,4,1,0,5,4,?,2,0,1,0,2,1,3,0,2,1,1,3,1,0,2,2,0,0,0,3,1,1,0,6,2,3,0,1,0,2,0,2,1,3,?,1,0,1,1,1,0,0,0,1,1,1,0,3,?,1,3,1
Tegeocranellus muscorum,1,1,0,0,2,1,2,0,4,1,0,5,4,?,2,0,1,0,2,1,3,0,2,1,1,3,0,0,1,2,0,0,0,0,1,2,0,6,2,3,0,1,0,2,0,2,1,3,?,1,0,1,1,1,0,0,0,1,1,1,0,3,?,1,3,1
Cymbaeremaeus cymba,2,1,0,1,2,1,0,1,0,0,0,4,5,0,3,2,0,0,2,1,0,0,0,4,1,2,0,0,1,2,1,0,1,0,1,0,0,0,0,3,0,1,0,1,2,2,2,3,0,0,0,0,3,2,2,0,2,1,0,1,1,1,0,1,3,1
Scutovertex sculptus,2,1,0,0,2,2,0,0,2,1,1,3,4,0,3,2,0,0,2,0,3,0,0,5,0,5,1,0,2,3,0,1,1,0,1,0,0,0,1,3,1,1,2,1,0,2,1,3,0,0,0,1,4,3,0,0,2,1,1,1,1,1,0,1,3,0
Tectocepheus velatus,1,1,0,0,2,2,2,3,2,1,1,2,4,0,3,2,0,0,0,0,0,0,0,2,1,5,0,0,2,3,0,0,1,0,1,0,0,3,1,6,1,1,2,0,2,2,1,3,0,1,0,1,1,1,0,0,2,1,1,1,1,1,0,0,3,0
Collohmannia johnstoni,3,1,0,0,3,2,4,3,0,0,0,1,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,3,0,0,1,0,0,0,0,8,3,4,0,1,0,1,2,3,3,3,0,0,0,0,0,0,1,1,0,2,1,1,1,0,0,0,4,0
